direction,title,primary_tag_l1,secondary_tags_l2
真人AI玄幻,《菩提临世，真人AI版》,奇幻/系统,
真人AI玄幻,《天命崩坏后，我成了唯一变量》,奇幻/系统,
真人AI玄幻,《真人AI版：魔尊归来》,奇幻/系统,
真人AI玄幻,《我被天道选中后，全城跪了》,奇幻/系统,
真人AI玄幻,《灵气复苏当天，我觉醒神级弹幕》,逆袭/爽文,末世异能
真人AI玄幻,《AI重启：我看见所有人的结局》,其他,
真人AI玄幻,《仿真人漫：全城等我认输》,其他,
真人AI玄幻,《神明降临前，我先改写家族命运》,家庭/亲情,
系统爽感漫剧,《绑定改命系统后，全家逆天翻盘》,奇幻/系统,系统任务
系统爽感漫剧,《末世前三天，我靠预知囤满全城》,奇幻/系统,末世异能
系统爽感漫剧,《神豪系统觉醒后，前夫全家跪了》,逆袭/爽文,神豪、系统任务
系统爽感漫剧,《我能听见弹幕，反派全员破防》,其他,
系统爽感漫剧,《开局获得满级战力，我只想回家吃饭》,家庭/亲情,亲情救赎
系统爽感漫剧,《系统逼我成神，全城却叫我废物》,奇幻/系统,系统任务
系统爽感漫剧,《一集一个神技能，我把仇人送进火葬场》,其他,追妻火葬场
系统爽感漫剧,《天道给我开挂后，豪门全家听见心声》,奇幻/系统,豪门恩怨
家庭/婚恋融合漫剧,《AI漫剧：太奶奶重启家族荣耀》,家庭/亲情,
家庭/婚恋融合漫剧,《修仙归来，我成了豪门月嫂》,豪门/总裁,豪门恩怨、修仙升级
家庭/婚恋融合漫剧,《真人AI版：离婚后我成了他的天命白月光》,现代情感,白月光/替身
家庭/婚恋融合漫剧,《绑定读心术后，我治好了豪门全家》,奇幻/系统,豪门恩怨
家庭/婚恋融合漫剧,《魔尊带娃回家后，全家命运改写了》,奇幻/系统,亲情救赎
家庭/婚恋融合漫剧,《白月光重生为AI后，前夫悔疯了》,现代情感,白月光/替身、重生复仇
家庭/婚恋融合漫剧,《三岁小祖宗会改国运》,其他,
家庭/婚恋融合漫剧,《全家炮灰命觉醒，我用AI改剧本》,逆袭/爽文,
