direction,title,primary_tag_l1,secondary_tags_l2
家庭亲情爽剧,《太奶奶驾到，全家跪求我改命》,家庭/亲情,
家庭亲情爽剧,《被赶出家门后，我成了全家福星》,家庭/亲情,
家庭亲情爽剧,《听见我心声后，三个哥哥全员觉醒》,逆袭/爽文,
家庭亲情爽剧,《我是你们太奶奶，孝子贤孙都别哭》,家庭/亲情,
家庭亲情爽剧,《重回认亲当天，我带全家逆天改命》,奇幻/系统,
家庭亲情爽剧,《团宠萌宝三岁半，全家靠我翻身》,家庭/亲情,萌宝
家庭亲情爽剧,《妈妈别怕，这次换我保护你》,家庭/亲情,
家庭亲情爽剧,《外婆回家后，全村都跟着暴富了》,家庭/亲情,神豪、亲情救赎
家庭亲情爽剧,《九个外甥跪求我重整家族》,家庭/亲情,
家庭亲情爽剧,《全家嫌我累赘，转身我救了豪门》,豪门/总裁,豪门恩怨
家庭亲情爽剧,《奶奶重生后，把白眼狼全家打醒》,家庭/亲情,重生复仇
家庭亲情爽剧,《被养女夺走人生后，亲生女儿杀回来了》,家庭/亲情,亲情救赎
家庭亲情爽剧,《回家第一天，我听见全家心声》,家庭/亲情,亲情救赎
家庭亲情爽剧,《孝子贤孙别装了，太奶奶全都知道》,家庭/亲情,
家庭亲情爽剧,《三个哥哥悔疯了，妹妹才是真千金》,豪门/总裁,豪门恩怨
家庭亲情爽剧,《全家火葬场后，我带妈妈独美》,家庭/亲情,女强、追妻火葬场
家庭亲情爽剧,《八零团宠小福星，带着全家奔小康》,家庭/亲情,萌宝
家庭亲情爽剧,《我死后，全家才知我替他们挡灾》,家庭/亲情,
家庭亲情爽剧,《萌宝找上门，爹地妈咪别想跑》,家庭/亲情,萌宝
家庭亲情爽剧,《被婆家赶走后，我成了全城最旺的月嫂》,家庭/亲情,
婚恋情感爽剧,《离婚当天，顾机长才知我是他的白月光》,现代情感,白月光/替身
婚恋情感爽剧,《人前不熟，人后上瘾》,现代情感,
婚恋情感爽剧,《替嫁后，冷面总裁把我宠疯了》,豪门/总裁,白月光/替身、霸总甜虐
婚恋情感爽剧,《隐婚三年，傅爷跪求我公开》,现代情感,先婚后爱
婚恋情感爽剧,《前妻回国后，京圈太子爷悔到失控》,古风/古代,霸总甜虐
婚恋情感爽剧,《错认我成替身后，他追妻火葬场》,现代情感,追妻火葬场、白月光/替身
婚恋情感爽剧,《久别重逢，偏执大佬又沦陷了》,其他,
婚恋情感爽剧,《闪婚后，我成了豪门全家的心尖宠》,现代情感,先婚后爱、豪门恩怨
婚恋情感爽剧,《白月光不装了，渣总跪求复婚》,现代情感,白月光/替身
婚恋情感爽剧,《她比星星耀眼，他比旧爱危险》,现代情感,
婚恋情感爽剧,《别有用心的妻子，才是真正的救命恩人》,现代情感,
婚恋情感爽剧,《协议到期后，总裁他不肯离婚》,现代情感,霸总甜虐
婚恋情感爽剧,《带球跑五年后，傅爷堵在幼儿园门口》,豪门/总裁,带球跑
婚恋情感爽剧,《顾太太说自己守寡三年》,其他,
婚恋情感爽剧,《先婚后爱，贺少每天都想官宣》,现代情感,先婚后爱
婚恋情感爽剧,《心动还请告诉我，别让我再等十年》,现代情感,
婚恋情感爽剧,《小青梅回国后，京圈炸了》,豪门/总裁,霸总甜虐
婚恋情感爽剧,《离婚夜，她成了全城最贵的玫瑰》,现代情感,
婚恋情感爽剧,《未婚妻与他人领证，我转身娶了她姐姐》,现代情感,
婚恋情感爽剧,《疯美人归来，前夫全家都慌了》,家庭/亲情,
豪门职业反差,《豪门月嫂转正后，全家把我当白月光》,家庭/亲情,白月光/替身、豪门恩怨
豪门职业反差,《我只是秘书，却成了傅爷的救命恩人》,豪门/总裁,
豪门职业反差,《女机长离职当天，顾总跪求复婚》,现代情感,
豪门职业反差,《急诊医生不装了，豪门全家排队道歉》,豪门/总裁,豪门恩怨
豪门职业反差,《金牌律师回国后，京圈太子爷输惨了》,古风/古代,霸总甜虐
豪门职业反差,《财阀婆家嫌我低贱，得知身份后悔疯》,豪门/总裁,豪门恩怨
豪门职业反差,《顾机长，太太说自己已守寡三年》,豪门/总裁,
豪门职业反差,《月嫂进门后，豪门三代都被治服了》,豪门/总裁,豪门恩怨
豪门职业反差,《傅爷的小青梅，是全城最贵的医生》,豪门/总裁,
豪门职业反差,《离职当天，总裁才知我是公司大股东》,豪门/总裁,霸总甜虐
豪门职业反差,《豪门保姆藏身份，少爷全家跪了》,豪门/总裁,豪门恩怨
豪门职业反差,《我靠一碗汤，治好了豪门全家的心病》,豪门/总裁,豪门恩怨
豪门职业反差,《京圈太子爷的救命恩人，是他的前妻》,古风/古代,霸总甜虐
豪门职业反差,《她是月嫂，也是失踪二十年的真千金》,豪门/总裁,豪门恩怨
豪门职业反差,《小秘书翻身后，傅爷连夜改遗嘱》,豪门/总裁,
豪门职业反差,《被豪门退婚后，我成了他们的主治医生》,豪门/总裁,豪门恩怨
豪门职业反差,《冷面机长失控了，只因太太不回头》,豪门/总裁,
豪门职业反差,《豪门全家听我心声后，跪求我别走》,奇幻/系统,豪门恩怨
豪门职业反差,《我不是保姆，是你们请不起的神医》,奇幻/系统,神医/玄学
豪门职业反差,《替豪门带娃三年，我成了孩子亲妈》,豪门/总裁,豪门恩怨
古风权贵女频,《穿成炮灰嫡女后，摄政王跪求我回头》,穿越/重生,宫斗宅斗、权谋
古风权贵女频,《十岁郡主养成纨绔爹，最后他成了皇帝》,古风/古代,
古风权贵女频,《重生后，我用三条阳谋吓哭满朝权贵》,穿越/重生,重生复仇
古风权贵女频,《侯府弃女归来，权臣夜夜求娶》,古风/古代,权谋
古风权贵女频,《替嫁王妃会读心，王爷藏不住了》,古风/古代,白月光/替身
古风权贵女频,《将门孤女重生后，满朝都跪了》,穿越/重生,重生复仇
古风权贵女频,《庶女不装了，冷面首辅悔疯了》,古风/古代,宫斗宅斗
古风权贵女频,《穿书后，我把炮灰全家改命了》,穿越/重生,穿书
古风权贵女频,《嫡女国师归来，皇帝也要听我心声》,奇幻/系统,宫斗宅斗
古风权贵女频,《王妃十岁半，养出一个少年将军》,古风/古代,
古风权贵女频,《被退婚后，我成了摄政王的掌心娇》,古风/古代,权谋
古风权贵女频,《她手握天命，侯府全员火葬场》,奇幻/系统,追妻火葬场
古风权贵女频,《权臣嫌我弱，后来为我跪了一夜》,古风/古代,权谋
古风权贵女频,《郡主别装了，满朝文武都听见你心声》,古风/古代,
古风权贵女频,《重生第一天，我休了未来皇帝》,穿越/重生,重生复仇
古风权贵女频,《将军夫人有点强，皇帝都不敢惹》,古风/古代,霸总甜虐
古风权贵女频,《穿成恶毒女配后，我成了公婆心尖宠》,穿越/重生,
